ENRICHMENT_Extract_SA_Public_Holiday_2020_2024,,,,,,,,,,,
date,year,day_name,is_holiday,holiday_name,holiday_scope,holiday_block,holiday_source_basis,long_weekend_flag,day_before_full_day_holiday_flag,day_after_full_day_holiday_flag,holiday_related_flag
1/1/2020,2020,Wednesday,1,New Year's Day,full_day,New Year,official,No,No,No,Yes
2/1/2020,2020,Thursday,0,,,,,No,No,Yes,Yes
3/1/2020,2020,Friday,0,,,,,No,No,No,No
4/1/2020,2020,Saturday,0,,,,,No,No,No,No
5/1/2020,2020,Sunday,0,,,,,No,No,No,No
6/1/2020,2020,Monday,0,,,,,No,No,No,No
7/1/2020,2020,Tuesday,0,,,,,No,No,No,No
8/1/2020,2020,Wednesday,0,,,,,No,No,No,No
9/1/2020,2020,Thursday,0,,,,,No,No,No,No
10/1/2020,2020,Friday,0,,,,,No,No,No,No
11/1/2020,2020,Saturday,0,,,,,No,No,No,No
12/1/2020,2020,Sunday,0,,,,,No,No,No,No
13/1/2020,2020,Monday,0,,,,,No,No,No,No
14/1/2020,2020,Tuesday,0,,,,,No,No,No,No
15/1/2020,2020,Wednesday,0,,,,,No,No,No,No
16/1/2020,2020,Thursday,0,,,,,No,No,No,No
17/1/2020,2020,Friday,0,,,,,No,No,No,No
18/1/2020,2020,Saturday,0,,,,,No,No,No,No
19/1/2020,2020,Sunday,0,,,,,No,No,No,No
20/1/2020,2020,Monday,0,,,,,No,No,No,No
21/1/2020,2020,Tuesday,0,,,,,No,No,No,No
22/1/2020,2020,Wednesday,0,,,,,No,No,No,No
23/1/2020,2020,Thursday,0,,,,,No,No,No,No
24/1/2020,2020,Friday,0,,,,,No,No,No,No
25/1/2020,2020,Saturday,0,,,,,No,No,No,No
26/1/2020,2020,Sunday,0,,,,,No,Yes,No,Yes
27/1/2020,2020,Monday,1,Australia Day holiday,full_day,Australia Day,official,Yes,No,No,Yes
28/1/2020,2020,Tuesday,0,,,,,No,No,Yes,Yes
29/1/2020,2020,Wednesday,0,,,,,No,No,No,No
30/1/2020,2020,Thursday,0,,,,,No,No,No,No
31/1/2020,2020,Friday,0,,,,,No,No,No,No
1/2/2020,2020,Saturday,0,,,,,No,No,No,No
2/2/2020,2020,Sunday,0,,,,,No,No,No,No
3/2/2020,2020,Monday,0,,,,,No,No,No,No
4/2/2020,2020,Tuesday,0,,,,,No,No,No,No
5/2/2020,2020,Wednesday,0,,,,,No,No,No,No
6/2/2020,2020,Thursday,0,,,,,No,No,No,No
7/2/2020,2020,Friday,0,,,,,No,No,No,No
8/2/2020,2020,Saturday,0,,,,,No,No,No,No
9/2/2020,2020,Sunday,0,,,,,No,No,No,No
10/2/2020,2020,Monday,0,,,,,No,No,No,No
11/2/2020,2020,Tuesday,0,,,,,No,No,No,No
12/2/2020,2020,Wednesday,0,,,,,No,No,No,No
13/2/2020,2020,Thursday,0,,,,,No,No,No,No
14/2/2020,2020,Friday,0,,,,,No,No,No,No
15/2/2020,2020,Saturday,0,,,,,No,No,No,No
16/2/2020,2020,Sunday,0,,,,,No,No,No,No
17/2/2020,2020,Monday,0,,,,,No,No,No,No
18/2/2020,2020,Tuesday,0,,,,,No,No,No,No
19/2/2020,2020,Wednesday,0,,,,,No,No,No,No
20/2/2020,2020,Thursday,0,,,,,No,No,No,No
21/2/2020,2020,Friday,0,,,,,No,No,No,No
22/2/2020,2020,Saturday,0,,,,,No,No,No,No
23/2/2020,2020,Sunday,0,,,,,No,No,No,No
24/2/2020,2020,Monday,0,,,,,No,No,No,No
25/2/2020,2020,Tuesday,0,,,,,No,No,No,No
26/2/2020,2020,Wednesday,0,,,,,No,No,No,No
27/2/2020,2020,Thursday,0,,,,,No,No,No,No
28/2/2020,2020,Friday,0,,,,,No,No,No,No
29/2/2020,2020,Saturday,0,,,,,No,No,No,No
1/3/2020,2020,Sunday,0,,,,,No,No,No,No
2/3/2020,2020,Monday,0,,,,,No,No,No,No
3/3/2020,2020,Tuesday,0,,,,,No,No,No,No
4/3/2020,2020,Wednesday,0,,,,,No,No,No,No
5/3/2020,2020,Thursday,0,,,,,No,No,No,No
6/3/2020,2020,Friday,0,,,,,No,No,No,No
7/3/2020,2020,Saturday,0,,,,,No,No,No,No
8/3/2020,2020,Sunday,0,,,,,No,Yes,No,Yes
